cause_bucket,prediction_id,source_context,match_status,source_movie_title,target_start_date,target_end_date,weekend_gross_prediction_usd,title_candidate_count,canonical_title_candidate_count,article_id,article_title,article_url,discovered_date,raw_forecast_text,match_method,match_notes
matched_or_provisional,1711,single_movie_prediction,provisional,John Wick: Chapter 2,,,20700000,1,0,1477,John Wick: Chapter 2 Box Office Prediction,https://toddmthatcher.com/2017/02/02/john-wick-chapter-2-box-office-prediction/,2017-02-02,John Wick: Chapter 2 opening weekend prediction: $20.7 million,normalized_exact,
matched_or_provisional,1696,weekly_ranked_predictions,provisional,Monster Trucks,2017-01-20,2017-01-22,6200000,6,1,1461,Box Office Predictions: January 20-22,https://toddmthatcher.com/2017/01/17/box-office-predictions-january-20-22/,2017-01-17,"8. Monster Trucks
Predicted Gross: $6.2 million (representing a drop of 43%)",normalized_exact_release_date,
matched_or_provisional,1698,weekly_ranked_predictions,provisional,Sleepless,2017-01-20,2017-01-22,4300000,4,1,1461,Box Office Predictions: January 20-22,https://toddmthatcher.com/2017/01/17/box-office-predictions-january-20-22/,2017-01-17,"10. Sleepless
Predicted Gross: $4.3 million",normalized_exact_release_date,
matched_or_provisional,1690,weekly_ranked_predictions,provisional,Split,2017-01-20,2017-01-22,19600000,7,1,1461,Box Office Predictions: January 20-22,https://toddmthatcher.com/2017/01/17/box-office-predictions-january-20-22/,2017-01-17,"2. Split
Predicted Gross: $19.6 million",normalized_exact_release_date,
matched_or_provisional,1697,weekly_ranked_predictions,provisional,The Bye Bye Man,2017-01-20,2017-01-22,5900000,6,1,1461,Box Office Predictions: January 20-22,https://toddmthatcher.com/2017/01/17/box-office-predictions-january-20-22/,2017-01-17,"9. The Bye Bye Man
Predicted Gross: $5.9 million (representing a drop of 57%)",normalized_exact_release_date,
matched_or_provisional,1661,weekly_ranked_predictions,provisional,Underworld: Blood Wars,2017-01-06,2017-01-08,17600000,3,1,1435,Box Office Predictions: January 6-8,https://toddmthatcher.com/2017/01/03/box-office-predictions-january-6-8/,2017-01-04,"4. Underworld: Blood Wars
Predicted Gross: $17.6 million",normalized_exact_release_date,
matched_or_provisional,1606,weekly_ranked_predictions,provisional,Rules Don’t Apply,2016-11-25,2016-11-27,4800000,0,0,1397,Box Office Predictions: November 25-27,https://toddmthatcher.com/2016/11/21/box-office-predictions-november-25-27/,2016-11-21,"9. Rules Don’t Apply
Predicted Gross: $4.8 million (Friday to Sunday), $6.3 million (Wednesday to Sunday)",normalized_exact,
matched_or_provisional,1596,single_movie_prediction,provisional,Rules Don’t Apply,,,4800000,0,0,1393,Rules Don’t Apply Box Office Prediction,https://toddmthatcher.com/2016/11/16/rules-dont-apply-box-office-prediction/,2016-11-17,"Rules Don’t Apply opening weekend prediction: $4.8 million (Friday to Sunday), $6.3 million (Wednesday to Sunday)",normalized_exact,
matched_or_provisional,1593,weekly_ranked_predictions,provisional,Billy Lynn’s Long Halftime Walk,2016-11-18,2016-11-20,9200000,0,0,1387,Box Office Predictions: November 18-20,https://toddmthatcher.com/2016/11/14/box-office-predictions-november-18-20/,2016-11-14,"6. Billy Lynn’s Long Halftime Walk
Predicted Gross: $9.2 million",normalized_exact,
matched_or_provisional,1592,weekly_ranked_predictions,provisional,The Edge of Seventeen,2016-11-18,2016-11-20,10900000,2,1,1387,Box Office Predictions: November 18-20,https://toddmthatcher.com/2016/11/14/box-office-predictions-november-18-20/,2016-11-14,"5. The Edge of Seventeen
Predicted Gross: $10.9 million",normalized_exact,
matched_or_provisional,1587,single_movie_prediction,provisional,Bleed for This,,,5800000,2,1,1385,Bleed for This Box Office Prediction,https://toddmthatcher.com/2016/11/10/bleed-for-this-box-office-prediction/,2016-11-10,Bleed for This opening weekend prediction: $5.8 million,normalized_exact,
matched_or_provisional,1586,single_movie_prediction,provisional,The Edge of Seventeen,,,10900000,2,1,1383,The Edge of Seventeen Box Office Prediction,https://toddmthatcher.com/2016/11/09/the-edge-of-seventeen-box-office-prediction/,2016-11-10,The Edge of Seventeen opening weekend prediction: $10.9 million,normalized_exact,
matched_or_provisional,1584,single_movie_prediction,provisional,Billy Lynn’s Long Halftime Walk,,,9200000,0,0,1379,Billy Lynn’s Long Halftime Walk Box Office Prediction,https://toddmthatcher.com/2016/11/09/billy-lynns-long-halftime-walk-box-office-prediction/,2016-11-09,Billy Lynn’s Long Halftime Walk opening weekend prediction: $9.2 million,normalized_exact,
matched_or_provisional,1577,single_movie_prediction,provisional,Shut In,,,5700000,2,1,1373,Shut In Box Office Prediction,https://toddmthatcher.com/2016/11/02/shut-in-box-office-prediction/,2016-11-02,Shut In opening weekend prediction: $5.7 million,normalized_exact,
matched_or_provisional,1550,weekly_ranked_predictions,provisional,The Girl on the Train,2016-10-14,2016-10-16,13400000,6,1,1347,Box Office Predictions: October 14-16,https://toddmthatcher.com/2016/10/10/box-office-predictions-october-14-16/,2016-10-10,"3. The Girl on the Train
Predicted Gross: $13.4 million (representing a drop of 45%)",normalized_exact,
matched_or_provisional,1547,single_movie_prediction,provisional,Max Steel,,,3800000,2,1,1345,Max Steel Box Office Prediction,https://toddmthatcher.com/2016/10/06/max-steel-box-office-prediction/,2016-10-06,Max Steel opening weekend prediction: $3.8 million,normalized_exact,
matched_or_provisional,1538,weekly_ranked_predictions,provisional,The Girl on the Train,2016-10-07,2016-10-09,28200000,6,1,1339,Box Office Predictions: October 7-9,https://toddmthatcher.com/2016/10/03/box-office-predictions-october-7-9/,2016-10-03,"1. The Girl on the Train
Predicted Gross: $28.2 million",normalized_exact,
matched_or_provisional,1544,weekly_ranked_predictions,provisional,The Magnificent Seven,2016-10-07,2016-10-09,7700000,5,1,1339,Box Office Predictions: October 7-9,https://toddmthatcher.com/2016/10/03/box-office-predictions-october-7-9/,2016-10-03,"7. The Magnificent Seven
Predicted Gross: $7.7 million (how about that?? – representing a drop of 51%)",normalized_exact,
matched_or_provisional,1536,single_movie_prediction,provisional,The Girl on the Train,,,28200000,6,1,1335,The Girl on the Train Box Office Prediction,https://toddmthatcher.com/2016/09/28/the-girl-on-the-train-box-office-prediction/,2016-09-28,The Girl on the Train opening weekend prediction: $28.2 million,normalized_exact,
matched_or_provisional,1533,weekly_ranked_predictions,provisional,Masterminds,2016-09-30,2016-10-02,6300000,3,1,1331,Box Office Predictions: September 30-October 2,https://toddmthatcher.com/2016/09/26/box-office-predictions-september-30-october-2/,2016-09-26,"6. Masterminds
Predicted Gross: $6.3 million",normalized_exact,
matched_or_provisional,1530,weekly_ranked_predictions,provisional,The Magnificent Seven,2016-09-30,2016-10-02,18200000,5,1,1331,Box Office Predictions: September 30-October 2,https://toddmthatcher.com/2016/09/26/box-office-predictions-september-30-october-2/,2016-09-26,"3. The Magnificent Seven
Predicted Gross: $18.2 million (representing a drop of 47%)",normalized_exact,
matched_or_provisional,1525,single_movie_prediction,provisional,Masterminds,,,6300000,3,1,1325,Masterminds Box Office Prediction,https://toddmthatcher.com/2016/09/21/masterminds-box-office-prediction/,2016-09-21,Masterminds opening weekend prediction: $6.3 million,normalized_exact,
matched_or_provisional,1518,weekly_ranked_predictions,provisional,The Magnificent Seven,2016-09-23,2016-09-25,47100000,5,1,1321,Box Office Predictions: September 23-25,https://toddmthatcher.com/2016/09/19/box-office-predictions-september-23-25/,2016-09-19,"1. The Magnificent Seven
Predicted Gross: $47.1 million",normalized_exact,
matched_or_provisional,1516,single_movie_prediction,provisional,The Magnificent Seven,,,47100000,5,1,1317,The Magnificent Seven Box Office Prediction,https://toddmthatcher.com/2016/09/14/the-magnificent-seven-box-office-prediction/,2016-09-14,The Magnificent Seven opening weekend prediction: $47.1 million,normalized_exact,
matched_or_provisional,1515,single_movie_prediction,provisional,Hillsong – Let Hope Rise,,,3000000,2,1,1315,Hillsong – Let Hope Rise Box Office Prediction,https://toddmthatcher.com/2016/09/12/hillsong-let-hope-rise-box-office-prediction/,2016-09-12,Hillsong – Let Hope Rise opening weekend prediction: $3 million (Updated – see above),normalized_exact,
matched_or_provisional,1459,weekly_ranked_predictions,provisional,Star Trek Beyond,2016-08-05,2016-08-07,10800000,2,1,1265,Box Office Predictions: August 5-7,https://toddmthatcher.com/2016/08/01/box-office-predictions-august-5-7/,2016-08-01,"4. Star Trek Beyond
Predicted Gross: $10.8 million",normalized_exact,
matched_or_provisional,1460,weekly_ranked_predictions,provisional,The Secret Life of Pets,2016-08-05,2016-08-07,10600000,2,1,1265,Box Office Predictions: August 5-7,https://toddmthatcher.com/2016/08/01/box-office-predictions-august-5-7/,2016-08-01,"5. The Secret Life of Pets
Predicted Gross: $10.6 million",normalized_exact,
matched_or_provisional,1455,weekly_ranked_predictions,provisional,Finding Dory,2016-07-29,2016-07-31,4500000,2,1,1263,Box Office Predictions: July 29-31,https://toddmthatcher.com/2016/07/25/box-office-predictions-july-29-31/,2016-07-25,"9. Finding Dory
Predicted Gross: $4.5 million",normalized_exact,
matched_or_provisional,1451,weekly_ranked_predictions,provisional,Ghostbusters,2016-07-29,2016-07-31,11200000,3,2,1263,Box Office Predictions: July 29-31,https://toddmthatcher.com/2016/07/25/box-office-predictions-july-29-31/,2016-07-25,"5. Ghostbusters
Predicted Gross: $11.2 million",normalized_exact,
matched_or_provisional,1454,weekly_ranked_predictions,provisional,Ice Age: Collision Course,2016-07-29,2016-07-31,10100000,2,1,1263,Box Office Predictions: July 29-31,https://toddmthatcher.com/2016/07/25/box-office-predictions-july-29-31/,2016-07-25,"8. Ice Age: Collision Course
Predicted Gross: $10.1 million",normalized_exact,
matched_or_provisional,1453,weekly_ranked_predictions,provisional,Lights Out,2016-07-29,2016-07-31,10600000,2,1,1263,Box Office Predictions: July 29-31,https://toddmthatcher.com/2016/07/25/box-office-predictions-july-29-31/,2016-07-25,"7. Lights Out
Predicted Gross: $10.6 million",normalized_exact,
matched_or_provisional,1448,weekly_ranked_predictions,provisional,Star Trek Beyond,2016-07-29,2016-07-31,28500000,2,1,1263,Box Office Predictions: July 29-31,https://toddmthatcher.com/2016/07/25/box-office-predictions-july-29-31/,2016-07-25,"2. Star Trek Beyond
Predicted Gross: $28.5 million",normalized_exact,
matched_or_provisional,1456,weekly_ranked_predictions,provisional,The Legend of Tarzan,2016-07-29,2016-07-31,3600000,2,1,1263,Box Office Predictions: July 29-31,https://toddmthatcher.com/2016/07/25/box-office-predictions-july-29-31/,2016-07-25,"10. The Legend of Tarzan
Predicted Gross: $3.6 million",normalized_exact,
matched_or_provisional,1450,weekly_ranked_predictions,provisional,The Secret Life of Pets,2016-07-29,2016-07-31,16400000,2,1,1263,Box Office Predictions: July 29-31,https://toddmthatcher.com/2016/07/25/box-office-predictions-july-29-31/,2016-07-25,"4. The Secret Life of Pets
Predicted Gross: $16.4 million",normalized_exact,
matched_or_provisional,1441,weekly_ranked_predictions,provisional,Ghostbusters,2016-07-22,2016-07-24,19800000,3,2,1251,Box Office Predictions: July 22-24,https://toddmthatcher.com/2016/07/18/box-office-predictions-july-22-24/,2016-07-18,"4. Ghostbusters
Predicted Gross: $19.8 million",normalized_exact,
matched_or_provisional,1439,weekly_ranked_predictions,provisional,Ice Age: Collision Course,2016-07-22,2016-07-24,28300000,2,1,1251,Box Office Predictions: July 22-24,https://toddmthatcher.com/2016/07/18/box-office-predictions-july-22-24/,2016-07-18,"2. Ice Age: Collision Course
Predicted Gross: $28.3 million",normalized_exact_release_date,
matched_or_provisional,1442,weekly_ranked_predictions,provisional,Lights Out,2016-07-22,2016-07-24,10200000,2,1,1251,Box Office Predictions: July 22-24,https://toddmthatcher.com/2016/07/18/box-office-predictions-july-22-24/,2016-07-18,"5. Lights Out
Predicted Gross: $10.2 million",normalized_exact_release_date,
matched_or_provisional,1440,weekly_ranked_predictions,provisional,The Secret Life of Pets,2016-07-22,2016-07-24,24900000,2,1,1251,Box Office Predictions: July 22-24,https://toddmthatcher.com/2016/07/18/box-office-predictions-july-22-24/,2016-07-18,"3. The Secret Life of Pets
Predicted Gross: $24.9 million",normalized_exact,
matched_or_provisional,1436,single_movie_prediction,provisional,Lights Out,,,10200000,2,1,1245,Lights Out Box Office Prediction,https://toddmthatcher.com/2016/07/15/lights-out-box-office-prediction/,2016-07-15,Lights Out opening weekend prediction: $10.2 million,normalized_exact,
matched_or_provisional,1438,single_movie_prediction,provisional,Ice Age: Collision Course,,,28300000,2,1,1249,Ice Age: Collision Course Box Office Prediction,https://toddmthatcher.com/2016/07/14/ice-age-collision-course-box-office-prediction/,2016-07-14,Ice Age: Collision Course opening weekend prediction: $28.3 million,normalized_exact,
matched_or_provisional,1435,single_movie_prediction,provisional,Star Trek Beyond,,,53400000,2,1,1243,Star Trek Beyond Box Office Prediction,https://toddmthatcher.com/2016/07/13/star-trek-beyond-box-office-prediction/,2016-07-13,Star Trek Beyond opening weekend prediction: $53.4 million,normalized_exact,
matched_or_provisional,1432,weekly_ranked_predictions,provisional,Finding Dory,2016-07-15,2016-07-17,11200000,2,1,1241,Box Office Predictions: July 15-17,https://toddmthatcher.com/2016/07/11/box-office-predictions-july-15-17/,2016-07-11,"3. Finding Dory
Predicted Gross: $11.2 million",normalized_exact,
matched_or_provisional,1431,weekly_ranked_predictions,provisional,Ghostbusters,2016-07-15,2016-07-17,47300000,3,2,1241,Box Office Predictions: July 15-17,https://toddmthatcher.com/2016/07/11/box-office-predictions-july-15-17/,2016-07-11,"2. Ghostbusters
Predicted Gross: $47.3 million",normalized_exact_release_date,
matched_or_provisional,1434,weekly_ranked_predictions,provisional,Mike and Dave Need Wedding Dates,2016-07-15,2016-07-17,8900000,2,1,1241,Box Office Predictions: July 15-17,https://toddmthatcher.com/2016/07/11/box-office-predictions-july-15-17/,2016-07-11,"5. Mike and Dave Need Wedding Dates
Predicted Gross: $8.9 million",normalized_exact,
matched_or_provisional,1433,weekly_ranked_predictions,provisional,The Legend of Tarzan,2016-07-15,2016-07-17,11100000,2,1,1241,Box Office Predictions: July 15-17,https://toddmthatcher.com/2016/07/11/box-office-predictions-july-15-17/,2016-07-11,"4. The Legend of Tarzan
Predicted Gross: $11.1 million",normalized_exact,
matched_or_provisional,1430,single_movie_prediction,provisional,Ghostbusters,,,47300000,3,2,1239,Ghostbusters Box Office Prediction,https://toddmthatcher.com/2016/07/06/ghostbusters-box-office-prediction/,2016-07-06,Ghostbusters opening weekend prediction: $47.3 million,normalized_exact,
matched_or_provisional,1429,single_movie_prediction,provisional,The Infiltrator,,,4600000,2,1,1237,The Infiltrator Box Office Prediction,https://toddmthatcher.com/2016/07/06/the-infiltrator-box-office-prediction/,2016-07-06,"The Infiltrator opening weekend prediction: $4.6 million (Friday to Sunday), $6.1 million (Wednesday to Sunday)",normalized_exact,
matched_or_provisional,1424,weekly_ranked_predictions,provisional,Finding Dory,2016-07-08,2016-07-10,23300000,2,1,1235,Box Office Predictions: July 8-10,https://toddmthatcher.com/2016/07/05/box-office-predictions-july-8-10/,2016-07-05,"2. Finding Dory
Predicted Gross: $23.3 million (representing a drop of 44%)",normalized_exact,
matched_or_provisional,1426,weekly_ranked_predictions,provisional,Mike and Dave Need Wedding Dates,2016-07-08,2016-07-10,13500000,2,1,1235,Box Office Predictions: July 8-10,https://toddmthatcher.com/2016/07/05/box-office-predictions-july-8-10/,2016-07-05,"4. Mike and Dave Need Wedding Dates
Predicted Gross: $13.5 million",normalized_exact_release_date,
matched_or_provisional,1428,weekly_ranked_predictions,provisional,The BFG,2016-07-08,2016-07-10,10600000,2,1,1235,Box Office Predictions: July 8-10,https://toddmthatcher.com/2016/07/05/box-office-predictions-july-8-10/,2016-07-05,"6. The BFG
Predicted Gross: $10.6 million (representing a drop of 43%)",normalized_exact,
matched_or_provisional,1425,weekly_ranked_predictions,provisional,The Legend of Tarzan,2016-07-08,2016-07-10,19800000,2,1,1235,Box Office Predictions: July 8-10,https://toddmthatcher.com/2016/07/05/box-office-predictions-july-8-10/,2016-07-05,"3. The Legend of Tarzan
Predicted Gross: $19.8 million (representing a drop of 48%)",normalized_exact,
matched_or_provisional,1427,weekly_ranked_predictions,provisional,The Purge: Election Year,2016-07-08,2016-07-10,10900000,2,1,1235,Box Office Predictions: July 8-10,https://toddmthatcher.com/2016/07/05/box-office-predictions-july-8-10/,2016-07-05,"5. The Purge: Election Year
Predicted Gross: $10.9 million (representing a drop of 65%)",normalized_exact,
matched_or_provisional,1422,single_movie_prediction,provisional,Mike and Dave Need Wedding Dates,,,13500000,2,1,1231,Mike and Dave Need Wedding Dates Box Office Prediction,https://toddmthatcher.com/2016/06/29/mike-and-dave-need-wedding-dates-box-office-prediction/,2016-06-30,Mike and Dave Need Wedding Dates opening weekend prediction: $13.5 million,normalized_exact,
matched_or_provisional,1423,single_movie_prediction,provisional,The Secret Life of Pets,,,73700000,2,1,1233,The Secret Life of Pets Box Office Prediction,https://toddmthatcher.com/2016/06/29/the-secret-life-of-pets-box-office-prediction/,2016-06-29,The Secret Life of Pets opening weekend prediction: $73.7 million,normalized_exact,
matched_or_provisional,1420,weekly_ranked_predictions,provisional,Independence Day: Resurgence,2016-07-01,2016-07-04,17800000,2,1,1229,Box Office Predictions: July 1-4,https://toddmthatcher.com/2016/06/27/box-office-predictions-july-1-4/,2016-06-28,"4. Independence Day: Resurgence
Predicted Gross: $17.8 million (Friday to Sunday), $22.8 million (Friday to Monday)",normalized_exact,
matched_or_provisional,1418,weekly_ranked_predictions,provisional,The BFG,2016-07-01,2016-07-04,26600000,2,1,1229,Box Office Predictions: July 1-4,https://toddmthatcher.com/2016/06/27/box-office-predictions-july-1-4/,2016-06-28,"2. The BFG
Predicted Gross: $26.6 million (Friday to Sunday), $33.2 million (Friday to Monday)",normalized_exact_release_date,
matched_or_provisional,1421,weekly_ranked_predictions,provisional,The Legend of Tarzan,2016-07-01,2016-07-04,17500000,2,1,1229,Box Office Predictions: July 1-4,https://toddmthatcher.com/2016/06/27/box-office-predictions-july-1-4/,2016-06-28,"5. The Legend of Tarzan
Predicted Gross: $17.5 million (Friday to Sunday), $22 million (Friday to Monday)",normalized_exact_release_date,
matched_or_provisional,1419,weekly_ranked_predictions,provisional,The Purge: Election Year,2016-07-01,2016-07-04,21700000,2,1,1229,Box Office Predictions: July 1-4,https://toddmthatcher.com/2016/06/27/box-office-predictions-july-1-4/,2016-06-28,"3. The Purge: Election Year
Predicted Gross: $21.7 million (Friday to Sunday), $25.5 million (Friday to Monday)",normalized_exact_release_date,
matched_or_provisional,1415,single_movie_prediction,provisional,The Legend of Tarzan,,,17500000,2,1,1223,The Legend of Tarzan Box Office Prediction,https://toddmthatcher.com/2016/06/22/the-legend-of-tarzan-box-office-prediction/,2016-06-23,"The Legend of Tarzan opening weekend prediction: $17.5 million (Friday to Sunday), $22 million (Friday to Monday)",normalized_exact,
matched_or_provisional,1416,single_movie_prediction,provisional,The BFG,,,26600000,2,1,1225,The BFG Box Office Prediction,https://toddmthatcher.com/2016/06/22/the-bfg-box-office-prediction/,2016-06-22,"The BFG opening weekend prediction: $26.6 million (Friday to Sunday), $33.2 million (Friday to Monday)",normalized_exact,
matched_or_provisional,1417,single_movie_prediction,provisional,The Purge: Election Year,,,21700000,2,1,1227,The Purge: Election Year Box Office Prediction,https://toddmthatcher.com/2016/06/22/the-purge-election-year-box-office-prediction/,2016-06-22,"The Purge: Election Year opening weekend prediction: $21.7 million (Friday to Sunday), $25.5 million (Friday to Monday)",normalized_exact,
matched_or_provisional,1412,weekly_ranked_predictions,provisional,Central Intelligence,2016-06-24,2016-06-26,15200000,2,1,1221,Box Office Predictions: June 24-26,https://toddmthatcher.com/2016/06/20/box-office-predictions-june-24-26/,2016-06-20,"3. Central Intelligence
Predicted Gross: $15.2 million (representing a drop of 57%)",normalized_exact,
matched_or_provisional,1413,weekly_ranked_predictions,provisional,Free State of Jones,2016-06-24,2016-06-26,12700000,2,1,1221,Box Office Predictions: June 24-26,https://toddmthatcher.com/2016/06/20/box-office-predictions-june-24-26/,2016-06-20,"4. Free State of Jones
Predicted Gross: $12.7 million",normalized_exact_release_date,
matched_or_provisional,1411,weekly_ranked_predictions,provisional,Independence Day: Resurgence,2016-06-24,2016-06-26,63500000,2,1,1221,Box Office Predictions: June 24-26,https://toddmthatcher.com/2016/06/20/box-office-predictions-june-24-26/,2016-06-20,"2. Independence Day: Resurgence
Predicted Gross: $63.5 million",normalized_exact_release_date,
matched_or_provisional,1414,weekly_ranked_predictions,provisional,The Shallows,2016-06-24,2016-06-26,10400000,2,1,1221,Box Office Predictions: June 24-26,https://toddmthatcher.com/2016/06/20/box-office-predictions-june-24-26/,2016-06-20,"5. The Shallows
Predicted Gross: $10.4 million",normalized_exact_release_date,
matched_or_provisional,1408,single_movie_prediction,provisional,Free State of Jones,,,12700000,2,1,1215,Free State of Jones Box Office Prediction,https://toddmthatcher.com/2016/06/15/free-state-of-jones-box-office-prediction/,2016-06-15,Free State of Jones opening weekend prediction: $12.7 million,normalized_exact,
matched_or_provisional,1409,single_movie_prediction,provisional,Independence Day: Resurgence,,,63500000,2,1,1217,Independence Day: Resurgence Box Office Prediction,https://toddmthatcher.com/2016/06/15/independence-day-resurgence-box-office-prediction/,2016-06-15,Independence Day: Resurgence opening weekend prediction: $63.5 million,normalized_exact,
matched_or_provisional,1410,single_movie_prediction,provisional,The Shallows,,,10400000,2,1,1219,The Shallows Box Office Prediction,https://toddmthatcher.com/2016/06/15/the-shallows-box-office-prediction/,2016-06-15,The Shallows opening weekend prediction: $10.4 million,normalized_exact,
matched_or_provisional,1404,weekly_ranked_predictions,provisional,Central Intelligence,2016-06-17,2016-06-19,34100000,2,1,1213,Box Office Predictions: June 17-19,https://toddmthatcher.com/2016/06/13/box-office-predictions-june-17-19/,2016-06-13,"2. Central Intelligence
Predicted Gross: $34.1 million",normalized_exact_release_date,
matched_or_provisional,1406,weekly_ranked_predictions,provisional,Now You See Me 2,2016-06-17,2016-06-19,12500000,2,1,1213,Box Office Predictions: June 17-19,https://toddmthatcher.com/2016/06/13/box-office-predictions-june-17-19/,2016-06-13,"4. Now You See Me 2
Predicted Gross: $12.5 million (representing a drop of 44%)",normalized_exact,
matched_or_provisional,1405,weekly_ranked_predictions,provisional,The Conjuring 2,2016-06-17,2016-06-19,20300000,1,0,1213,Box Office Predictions: June 17-19,https://toddmthatcher.com/2016/06/13/box-office-predictions-june-17-19/,2016-06-13,"3. The Conjuring 2
Predicted Gross: $20.3 million (representing a drop of 49%)",normalized_exact,
matched_or_provisional,1407,weekly_ranked_predictions,provisional,Warcraft,2016-06-17,2016-06-19,8900000,2,1,1213,Box Office Predictions: June 17-19,https://toddmthatcher.com/2016/06/13/box-office-predictions-june-17-19/,2016-06-13,"5. Warcraft
Predicted Gross: $8.9 million (representing a drop of 63%)",normalized_exact,
matched_or_provisional,1403,single_movie_prediction,provisional,Central Intelligence,,,34100000,2,1,1211,Central Intelligence Box Office Prediction,https://toddmthatcher.com/2016/06/08/central-intelligence-box-office-prediction/,2016-06-08,Central Intelligence opening weekend prediction: $34.1 million,normalized_exact,
matched_or_provisional,1402,single_movie_prediction,provisional,Finding Dory,,,117300000,2,1,1209,Finding Dory Box Office Prediction,https://toddmthatcher.com/2016/06/08/finding-dory-box-office-prediction/,2016-06-08,Finding Dory opening weekend prediction: $117.3 million,normalized_exact,
matched_or_provisional,1401,weekly_ranked_predictions,provisional,Me Before You,2016-06-10,2016-06-12,10000000,2,1,1207,Box Office Predictions: June 10-12,https://toddmthatcher.com/2016/06/06/box-office-predictions-june-10-12/,2016-06-06,"6. Me Before You
Predicted Gross: $10 million (representing a drop of 47%)",normalized_exact,
